Category,Number of Records,Order Date,Sales Target,Segment
Office Supplies,1,4/22/2014,1745,Consumer
Furniture,1,9/23/2016,2909,Consumer
Furniture,1,06-11-2014,38,Corporate
Office Supplies,1,5/31/2015,168,Consumer
Office Supplies,1,10-05-2015,91,Corporate
Office Supplies,1,10/18/2014,76,Home Office
Technology,1,12-09-2016,1891,Consumer
Technology,1,3/21/2015,71,Home Office
Office Supplies,1,8/28/2016,482,Corporate
Office Supplies,1,9/21/2015,14,Corporate
Furniture,1,1/16/2014,209,Home Office
Furniture,1,5/20/2014,961,Corporate
Office Supplies,1,05-08-2016,39,Consumer
Office Supplies,1,8/13/2015,8,Corporate
Furniture,1,09-01-2014,693,Consumer
Office Supplies,1,4/27/2015,102,Consumer
Furniture,1,6/16/2014,7,Consumer
Office Supplies,1,9/25/2014,3313,Consumer
Technology,1,1/21/2014,63,Consumer
Technology,1,07-06-2015,133,Consumer
Furniture,1,06-09-2015,183,Consumer
Office Supplies,1,6/22/2014,1005,Consumer
Technology,1,09-04-2014,565,Consumer
Furniture,1,5/28/2016,117,Consumer
Office Supplies,1,11/17/2016,271,Consumer
Technology,1,07-02-2015,4043,Consumer
Furniture,1,5/24/2015,1004,Consumer
Office Supplies,1,12-09-2015,699,Consumer
Technology,1,03-01-2015,294,Consumer
Office Supplies,1,4/22/2016,22,Consumer
Technology,1,2/14/2015,75,Consumer
Furniture,1,9/24/2016,4,Consumer
Furniture,1,09-03-2014,470,Corporate
Office Supplies,1,09-10-2015,74,Corporate
Technology,1,3/25/2016,248,Corporate
Furniture,1,3/13/2014,86,Consumer
Office Supplies,1,08-02-2014,318,Consumer
Technology,1,12/20/2016,224,Consumer
Furniture,1,3/30/2015,1081,Consumer
Office Supplies,1,11-03-2016,395,Consumer
Office Supplies,1,12-09-2015,6,Corporate
Office Supplies,1,4/17/2014,41,Consumer
Office Supplies,1,09-06-2016,713,Consumer
Office Supplies,1,02-11-2016,80,Corporate
Office Supplies,1,10/15/2014,23,Corporate
Technology,1,5/30/2015,593,Corporate
Office Supplies,1,8/29/2016,5,Consumer
Technology,1,12/18/2015,78,Consumer
Office Supplies,1,3/20/2016,34,Consumer
Office Supplies,1,6/25/2014,178,Corporate
Furniture,1,3/27/2015,254,Corporate
Office Supplies,1,4/20/2016,579,Consumer
Office Supplies,1,12/22/2014,15,Corporate
Office Supplies,1,04-05-2015,192,Home Office
Technology,1,6/15/2014,475,Consumer
Furniture,1,03-08-2014,464,Home Office
Technology,1,10/30/2016,498,Consumer
Furniture,1,1/15/2016,205,Consumer
Furniture,1,09-01-2016,56,Consumer
Furniture,1,9/13/2015,523,Corporate
Office Supplies,1,1/20/2014,181,Corporate
Furniture,1,02-04-2016,127,Home Office
Office Supplies,1,8/27/2015,23,Corporate
Office Supplies,1,04-09-2014,103,Home Office
Furniture,1,3/31/2016,901,Corporate
Office Supplies,1,03-06-2014,82,Consumer
Office Supplies,1,11/26/2015,182,Corporate
Technology,1,2/17/2015,652,Consumer
Technology,1,05-02-2015,184,Corporate
Furniture,1,8/22/2014,121,Consumer
Furniture,1,8/28/2015,768,Corporate
Furniture,1,2/23/2016,543,Home Office
Office Supplies,1,06-02-2015,48,Consumer
Office Supplies,1,10/27/2016,7,Corporate
Office Supplies,1,09-08-2015,321,Home Office
Technology,1,10/29/2015,21,Consumer
Technology,1,5/13/2015,258,Home Office
Furniture,1,5/18/2015,309,Corporate
Furniture,1,5/26/2014,30,Consumer
Office Supplies,1,02-08-2016,90,Consumer
Office Supplies,1,6/26/2016,17,Corporate
Office Supplies,1,12/27/2015,65,Home Office
Technology,1,1/16/2015,37,Consumer
Technology,1,5/28/2016,41,Home Office
Office Supplies,1,12/15/2014,6,Corporate
Technology,1,6/26/2016,3,Corporate
Furniture,1,1/27/2016,280,Home Office
Office Supplies,1,03-01-2016,15,Consumer
Furniture,1,2/15/2016,77,Corporate
Office Supplies,1,1/29/2016,26,Corporate
Office Supplies,1,12-10-2016,7,Home Office
Technology,1,4/17/2015,335,Corporate
Furniture,1,3/18/2015,43,Consumer
Furniture,1,4/17/2015,858,Home Office
Office Supplies,1,03-04-2014,260,Consumer
Office Supplies,1,12-05-2015,482,Corporate
Office Supplies,1,08-03-2014,298,Home Office
Technology,1,06-11-2014,41,Corporate
Furniture,1,10-10-2014,1819,Corporate
Office Supplies,1,01-07-2016,164,Corporate
Technology,1,1/23/2016,37,Consumer
Furniture,1,6/26/2015,773,Consumer
Office Supplies,1,01-11-2016,306,Consumer
Office Supplies,1,08-10-2014,20,Home Office
Technology,1,6/19/2014,171,Consumer
Office Supplies,1,02-01-2014,18,Consumer
Office Supplies,1,03-05-2016,45,Corporate
Technology,1,2/25/2015,1507,Consumer
Technology,1,8/30/2015,914,Corporate
Furniture,1,02-02-2014,69,Consumer
Office Supplies,1,8/26/2016,8736,Consumer
Office Supplies,1,5/21/2015,22,Home Office
Furniture,1,10/21/2016,800,Consumer
Office Supplies,1,6/25/2015,2145,Consumer
Technology,1,5/23/2016,1454,Consumer
Technology,1,09-09-2016,109,Corporate
Office Supplies,1,01-08-2016,315,Corporate
Technology,1,10-08-2014,205,Consumer
Furniture,1,8/31/2015,129,Consumer
Office Supplies,1,09-02-2016,69,Consumer
Furniture,1,06-11-2014,1190,Corporate
Furniture,1,7/20/2016,48,Corporate
Office Supplies,1,12/29/2016,20,Consumer
Office Supplies,1,11-02-2015,152,Corporate
Office Supplies,1,4/27/2014,5,Home Office
Office Supplies,1,2/20/2014,779,Home Office
Technology,1,9/16/2016,18,Home Office
Furniture,1,1/18/2014,203,Consumer
Office Supplies,1,08-09-2015,181,Consumer
Office Supplies,1,04-01-2016,84,Home Office
Office Supplies,1,03-05-2014,1553,Consumer
Office Supplies,1,6/14/2016,376,Corporate
Technology,1,6/15/2014,404,Consumer
Technology,1,12/27/2016,263,Corporate
Furniture,1,12/25/2014,705,Consumer
Furniture,1,10-06-2014,1179,Corporate
Office Supplies,1,5/17/2016,178,Consumer
Office Supplies,1,7/13/2015,101,Corporate
Technology,1,5/22/2014,14,Consumer
Technology,1,03-02-2015,143,Corporate
Technology,1,12/25/2015,273,Consumer
Furniture,1,09-11-2015,520,Consumer
Furniture,1,02-06-2015,48,Home Office
Office Supplies,1,9/24/2014,454,Consumer
Office Supplies,1,1/18/2015,208,Home Office
Technology,1,12/25/2015,1637,Consumer
Technology,1,02-11-2016,909,Home Office
Office Supplies,1,02-05-2016,2018,Consumer
Office Supplies,1,7/13/2016,17,Corporate
Office Supplies,1,6/21/2014,22,Home Office
Technology,1,3/14/2014,164,Corporate
Technology,1,10-04-2015,1376,Home Office
Furniture,1,3/25/2014,12,Consumer
Office Supplies,1,8/27/2016,461,Consumer
Furniture,1,3/30/2014,80,Consumer
Office Supplies,1,07-03-2014,13,Consumer
Office Supplies,1,04-08-2016,198,Corporate
Office Supplies,1,9/27/2016,269,Home Office
Technology,1,10/18/2016,1154,Consumer
Technology,1,12-06-2014,173,Home Office
Furniture,1,03-12-2014,193,Consumer
Office Supplies,1,07-03-2014,661,Consumer
Furniture,1,6/20/2015,725,Consumer
Office Supplies,1,10/22/2015,167,Corporate
Technology,1,2/25/2014,340,Corporate
Furniture,1,08-10-2016,600,Consumer
Furniture,1,9/23/2016,318,Corporate
Office Supplies,1,11/18/2014,103,Consumer
Office Supplies,1,3/14/2014,410,Corporate
Furniture,1,8/22/2015,379,Consumer
Furniture,1,8/21/2016,440,Corporate
Office Supplies,1,07-10-2014,835,Corporate
Office Supplies,1,12-07-2014,20,Consumer
Office Supplies,1,6/27/2015,4,Home Office
Furniture,1,07-06-2015,4,Consumer
Office Supplies,1,12-06-2015,352,Consumer
Office Supplies,1,11/20/2014,52,Corporate
Office Supplies,1,8/26/2016,18,Home Office
Technology,1,06-03-2016,141,Consumer
Furniture,1,9/28/2016,12,Corporate
Office Supplies,1,1/18/2014,40,Corporate
Furniture,1,02-12-2015,6,Corporate
Office Supplies,1,12-12-2015,216,Consumer
Office Supplies,1,04-07-2014,101,Corporate
Technology,1,6/16/2016,998,Consumer
Technology,1,08-07-2015,88,Corporate
Furniture,1,12/22/2014,9,Consumer
Office Supplies,1,9/27/2016,18,Consumer
Office Supplies,1,12-02-2014,8,Home Office
Technology,1,09-07-2015,317,Home Office
Furniture,1,11/21/2016,1207,Corporate
Office Supplies,1,4/14/2016,43,Consumer
Technology,1,12-12-2015,184,Consumer
Technology,1,10/18/2016,563,Corporate
Furniture,1,05-06-2016,178,Consumer
Office Supplies,1,10/22/2016,583,Consumer
Office Supplies,1,11-04-2014,113,Corporate
Office Supplies,1,04-02-2015,118,Consumer
Technology,1,5/23/2014,102,Consumer
Office Supplies,1,06-03-2014,101,Consumer
Technology,1,8/13/2015,303,Consumer
Furniture,1,05-05-2015,60,Consumer
Office Supplies,1,11-02-2014,1908,Consumer
Technology,1,4/19/2016,709,Consumer
Technology,1,06-02-2014,588,Corporate
Office Supplies,1,9/24/2014,16,Consumer
Office Supplies,1,7/17/2016,8,Home Office
Furniture,1,8/13/2015,31,Consumer
Office Supplies,1,02-06-2016,256,Consumer
Furniture,1,08-06-2016,42,Corporate
Office Supplies,1,06-09-2015,58,Corporate
Furniture,1,05-08-2016,932,Consumer
Furniture,1,08-05-2014,46,Corporate
Furniture,1,7/24/2015,793,Home Office
Office Supplies,1,10/25/2014,378,Consumer
Office Supplies,1,09-04-2015,191,Corporate
Office Supplies,1,11/30/2016,74,Home Office
Technology,1,1/31/2016,512,Consumer
Technology,1,7/23/2015,458,Corporate
Technology,1,07-04-2016,265,Home Office
Furniture,1,09-09-2014,3720,Consumer
Furniture,1,3/29/2016,169,Home Office
Office Supplies,1,6/15/2016,1501,Consumer
Office Supplies,1,5/22/2015,17,Corporate
Office Supplies,1,3/28/2016,78,Home Office
Technology,1,9/13/2015,7365,Consumer
Technology,1,6/19/2016,113,Corporate
Furniture,1,12/25/2014,17,Consumer
Furniture,1,1/21/2014,684,Corporate
Furniture,1,6/26/2015,66,Home Office
Office Supplies,1,08-04-2015,124,Consumer
Office Supplies,1,6/23/2014,1610,Corporate
Office Supplies,1,12-01-2015,30,Home Office
Technology,1,04-04-2016,1485,Consumer
Furniture,1,5/14/2014,1742,Consumer
Office Supplies,1,03-12-2015,105,Consumer
Office Supplies,1,02-08-2016,8,Home Office
Furniture,1,10/22/2015,118,Consumer
Furniture,1,4/21/2016,3899,Consumer
Furniture,1,09-03-2015,35,Home Office
Office Supplies,1,2/13/2014,59,Consumer
Office Supplies,1,4/21/2016,156,Corporate
Office Supplies,1,10/24/2014,600,Home Office
Technology,1,7/31/2014,14,Corporate
Technology,1,6/24/2015,111,Home Office
Furniture,1,11/24/2016,16,Consumer
Furniture,1,08-10-2014,330,Home Office
Office Supplies,1,12-12-2014,114,Consumer
Office Supplies,1,06-12-2014,104,Corporate
Technology,1,7/28/2014,751,Consumer
Furniture,1,11/22/2014,552,Consumer
Furniture,1,06-07-2016,10,Corporate
Office Supplies,1,1/15/2016,1147,Consumer
Office Supplies,1,5/29/2014,100,Corporate
Technology,1,11-09-2016,3167,Consumer
Furniture,1,8/22/2014,15,Consumer
Furniture,1,1/25/2016,106,Corporate
Office Supplies,1,11/27/2016,16,Consumer
Office Supplies,1,5/21/2015,29,Corporate
Furniture,1,1/22/2016,35,Consumer
Office Supplies,1,7/29/2015,562,Consumer
Office Supplies,1,12/14/2014,6,Home Office
Technology,1,10/14/2015,116,Consumer
Furniture,1,3/22/2014,836,Corporate
Office Supplies,1,6/16/2014,73,Consumer
Office Supplies,1,07-10-2016,98,Corporate
Office Supplies,1,10/30/2015,5,Home Office
Technology,1,1/24/2015,2599,Consumer
Technology,1,7/23/2014,5915,Corporate
Furniture,1,11/27/2015,2672,Consumer
Office Supplies,1,10/30/2016,138,Consumer
Office Supplies,1,6/19/2015,12,Corporate
Office Supplies,1,07-02-2015,65,Home Office
Technology,1,09-04-2016,1989,Consumer
Furniture,1,06-03-2014,7,Home Office
Office Supplies,1,4/18/2016,233,Consumer
Office Supplies,1,10/24/2016,68,Corporate
Office Supplies,1,10/22/2016,101,Home Office
Technology,1,11/28/2016,1943,Consumer
Furniture,1,05-02-2014,670,Consumer
Office Supplies,1,2/17/2016,239,Consumer
Office Supplies,1,09-02-2016,338,Corporate
Furniture,1,04-04-2014,427,Corporate
Office Supplies,1,10-12-2014,10084,Consumer
Office Supplies,1,05-02-2015,11,Corporate
Office Supplies,1,8/27/2015,51,Home Office
Technology,1,8/25/2015,91,Corporate
Office Supplies,1,5/24/2016,212,Consumer
Furniture,1,02-08-2016,325,Home Office
Office Supplies,1,6/29/2014,59,Home Office
Furniture,1,2/13/2014,156,Consumer
Furniture,1,5/19/2016,20,Corporate
Furniture,1,09-01-2014,521,Home Office
Office Supplies,1,03-04-2015,165,Corporate
Office Supplies,1,2/15/2014,375,Home Office
Technology,1,8/15/2014,148,Consumer
Technology,1,10/13/2015,3,Home Office
Furniture,1,11/28/2015,592,Consumer
Furniture,1,11/26/2016,84,Corporate
Office Supplies,1,9/29/2015,82,Consumer
Furniture,1,06-02-2014,364,Consumer
Office Supplies,1,12/13/2014,158,Corporate
Furniture,1,10-11-2015,316,Consumer
Furniture,1,01-02-2014,443,Corporate
Furniture,1,3/16/2015,2331,Home Office
Office Supplies,1,12/28/2015,2626,Consumer
Office Supplies,1,02-04-2015,1713,Corporate
Technology,1,09-05-2016,604,Consumer
Furniture,1,2/27/2014,14,Corporate
Office Supplies,1,11-09-2016,189,Consumer
Office Supplies,1,03-10-2014,756,Corporate
Office Supplies,1,7/28/2016,5,Home Office
Office Supplies,1,12-07-2014,43,Corporate
Technology,1,6/22/2014,567,Corporate
Furniture,1,8/14/2015,293,Consumer
Furniture,1,12-02-2014,242,Corporate
Office Supplies,1,01-12-2015,98,Consumer
